other larceny,03/24/2012 04:47:00 PM,Saturday,42.33139635,-71.0823395
medassist,03/24/2012 04:55:00 PM,Saturday,42.28175636,-71.1340795
invper,03/24/2012 05:00:00 PM,Saturday,42.28688972,-71.0945523
vandalism,03/24/2012 05:00:00 PM,Saturday,42.25313373,-71.1237819
larceny from motor vehicle,03/24/2012 05:00:00 PM,Saturday,42.34232149,-71.076649
invprop,03/24/2012 05:00:00 PM,Saturday,42.35227635,-71.1261695
argue,03/24/2012 05:04:00 PM,Saturday,42.2545288,-71.1457129
mvacc,03/24/2012 05:05:00 PM,Saturday,42.28572137,-71.1289195
simple assault,03/24/2012 05:08:00 PM,Saturday,42.35136634,-71.0500495
val,03/24/2012 05:10:00 PM,Saturday,42.35048135,-71.1310595
simple assault,03/24/2012 05:20:00 PM,Saturday,42.28405295,-71.1124107
other larceny,03/24/2012 05:20:00 PM,Saturday,42.32549135,-71.0657495
medassist,03/24/2012 05:23:00 PM,Saturday,42.28572137,-71.1289195
disorderly,03/24/2012 05:25:00 PM,Saturday,42.31179782,-71.0615523
simple assault,03/24/2012 05:30:00 PM,Saturday,42.37804134,-71.0667645
service,03/24/2012 05:40:00 PM,Saturday,42.31918135,-71.0667695
val,03/24/2012 05:49:00 PM,Saturday,42.32278135,-71.1003895
aggravated assault,03/24/2012 05:50:00 PM,Saturday,42.31312136,-71.0909695
vandalism,03/24/2012 06:00:00 PM,Saturday,42.33747731,-71.0806244
drug charges,03/24/2012 06:00:00 PM,Saturday,42.34130529,-71.054710
drug charges,03/24/2012 06:02:00 PM,Saturday,42.34130529,-71.054710
robbery,03/24/2012 06:16:00 PM,Saturday,42.36858634,-71.0392595
larceny from motor vehicle,03/24/2012 06:16:00 PM,Saturday,42.31948771,-71.0662733
mvacc,03/24/2012 06:20:00 PM,Saturday,42.25591637,-71.1231645
proplost,03/24/2012 06:30:00 PM,Saturday,0E-8,0E-
larceny from motor vehicle,03/24/2012 06:30:00 PM,Saturday,42.34383135,-71.0676395
val,03/24/2012 06:33:00 PM,Saturday,42.28788136,-71.0780345
larceny from motor vehicle,03/24/2012 06:37:00 PM,Saturday,42.31371136,-71.0557295
service,03/24/2012 06:40:00 PM,Saturday,42.31158136,-71.0536795
weapons charge,03/24/2012 06:46:00 PM,Saturday,42.29485136,-71.0878395
persloc,03/24/2012 07:00:00 PM,Saturday,42.32011135,-71.0411895
val,03/24/2012 07:14:00 PM,Saturday,42.30078136,-71.0787995
medassist,03/24/2012 07:23:00 PM,Saturday,42.29764861,-71.0684333
other larceny,03/24/2012 07:25:00 PM,Saturday,42.32543556,-71.0638730
vandalism,03/24/2012 07:30:00 PM,Saturday,42.32193532,-71.0814191
other larceny,03/24/2012 07:30:00 PM,Saturday,42.34583135,-71.0752595
val,03/24/2012 07:30:00 PM,Saturday,42.31257983,-71.0929095
larceny from motor vehicle,03/24/2012 07:30:00 PM,Saturday,42.31047136,-71.1069695
val,03/24/2012 07:45:00 PM,Saturday,0E-8,0E-
persloc,03/24/2012 07:45:00 PM,Saturday,42.27841636,-71.1353095
vandalism,03/24/2012 07:50:00 PM,Saturday,42.35047603,-71.1277351
other larceny,03/24/2012 07:50:00 PM,Saturday,42.34710135,-71.0796045
persloc,03/24/2012 07:51:00 PM,Saturday,42.26651136,-71.1146445
persloc,03/24/2012 08:00:00 PM,Saturday,42.29553136,-71.0592845
proplost,03/24/2012 08:00:00 PM,Saturday,42.33194923,-71.0559959
larceny from motor vehicle,03/24/2012 08:00:00 PM,Saturday,42.35914135,-71.1361295
towed,03/24/2012 08:00:00 PM,Saturday,42.30856135,-71.0831195
simple assault,03/24/2012 08:00:00 PM,Saturday,42.38072634,-71.0662345
medassist,03/24/2012 08:00:00 PM,Saturday,42.34173635,-71.0725995
other larceny,03/24/2012 08:00:00 PM,Saturday,42.30861249,-71.0598754
medassist,03/24/2012 08:07:00 PM,Saturday,42.36680134,-71.0351295
argue,03/24/2012 08:12:00 PM,Saturday,42.305758,-71.08096
val,03/24/2012 08:14:00 PM,Saturday,42.34689135,-71.0892095
larceny from motor vehicle,03/24/2012 08:30:00 PM,Saturday,42.31800136,-71.0920795
vandalism,03/24/2012 08:30:00 PM,Saturday,42.33476135,-71.0353695
simple assault,03/24/2012 08:40:00 PM,Saturday,42.38049634,-71.0608945
val,03/24/2012 08:42:00 PM,Saturday,42.36773134,-71.0352495
other larceny,03/24/2012 08:47:00 PM,Saturday,42.32848135,-71.0815195
aggravated assault,03/24/2012 08:50:00 PM,Saturday,42.29986777,-71.0734964
other larceny,03/24/2012 09:00:00 PM,Saturday,42.29172136,-71.1196945
val,03/24/2012 09:00:00 PM,Saturday,42.28087136,-71.0803645
fire,03/24/2012 09:04:00 PM,Saturday,42.36612134,-71.0541945
larceny from motor vehicle,03/24/2012 09:10:00 PM,Saturday,42.2556051,-71.122277
disorderly,03/24/2012 09:10:00 PM,Saturday,42.34085635,-71.0878145
service,03/24/2012 09:10:00 PM,Saturday,42.34346135,-71.0643195
mvacc,03/24/2012 09:11:00 PM,Saturday,42.30606136,-71.0827195
medassist,03/24/2012 09:11:00 PM,Saturday,42.30606136,-71.0827195
medassist,03/24/2012 09:14:00 PM,Saturday,42.28557136,-71.0474445
drug charges,03/24/2012 09:29:00 PM,Saturday,42.33580635,-71.0762445
val,03/24/2012 09:30:00 PM,Saturday,42.33614135,-71.0816245
medassist,03/24/2012 09:40:00 PM,Saturday,42.33960135,-71.0553295
vandalism,03/24/2012 09:45:00 PM,Saturday,42.34898135,-71.1509145
val,03/24/2012 10:00:00 PM,Saturday,42.36286134,-71.0554145
other larceny,03/24/2012 10:00:00 PM,Saturday,42.36119634,-71.0556045
other larceny,03/24/2012 10:00:00 PM,Saturday,42.30926958,-71.078718
commercial burglary,03/24/2012 10:00:00 PM,Saturday,42.32781147,-71.0596409
licviol,03/24/2012 10:00:00 PM,Saturday,42.34837476,-71.1345227
simple assault,03/24/2012 10:00:00 PM,Saturday,42.30287635,-71.0705745
other larceny,03/24/2012 10:00:00 PM,Saturday,42.35071134,-71.0600695
simple assault,03/24/2012 10:03:00 PM,Saturday,42.30020938,-71.0809895
larceny from motor vehicle,03/24/2012 10:10:00 PM,Saturday,42.32311635,-71.1066595
weapons charge,03/24/2012 10:23:00 PM,Saturday,0E-8,0E-
drug charges,03/24/2012 10:26:00 PM,Saturday,42.32609135,-71.0753395
drug charges,03/24/2012 10:26:00 PM,Saturday,42.32609135,-71.0753395
persloc,03/24/2012 10:30:00 PM,Saturday,0E-8,0E-
larceny from motor vehicle,03/24/2012 10:30:00 PM,Saturday,42.37515634,-71.0326345
death investigation,03/24/2012 10:45:00 PM,Saturday,42.33322135,-71.0301895
simple assault,03/24/2012 10:50:00 PM,Saturday,42.32688961,-71.0544860
medassist,03/24/2012 10:50:00 PM,Saturday,42.28396136,-71.0852145
mvacc,03/24/2012 10:50:00 PM,Saturday,42.29021136,-71.0716095
persloc,03/24/2012 11:00:00 PM,Saturday,42.28811636,-71.0841695
larceny from motor vehicle,03/24/2012 11:00:00 PM,Saturday,42.34554135,-71.1413495
medassist,03/24/2012 11:00:00 PM,Saturday,42.33906141,-71.0523932
larceny from motor vehicle,03/24/2012 11:00:00 PM,Saturday,42.34259296,-71.0759915
larceny from motor vehicle,03/24/2012 11:00:00 PM,Saturday,42.35958647,-71.1176583
disorderly,03/24/2012 11:10:00 PM,Saturday,42.33616959,-71.1504776
larceny from motor vehicle,03/24/2012 11:20:00 PM,Saturday,42.35228634,-71.0613195
licviol,03/24/2012 11:25:00 PM,Saturday,42.34491393,-71.0964133
invper,03/24/2012 11:26:00 PM,Saturday,42.25907137,-71.1152895
auto theft,03/24/2012 11:30:00 PM,Saturday,42.29366657,-71.0769284
disorderly,03/24/2012 11:50:00 PM,Saturday,42.35904135,-71.0554295
proplost,03/24/2012 11:55:00 PM,Saturday,42.35237134,-71.0649045
fraud,03/25/2012 12:00:00 AM,Sunday,42.31801471,-71.0540417
other larceny,03/25/2012 12:00:00 AM,Sunday,42.33801135,-71.0827245
larceny from motor vehicle,03/25/2012 12:00:00 AM,Sunday,42.34995728,-71.0634784
simple assault,03/25/2012 12:01:00 AM,Sunday,42.29476483,-71.0820486
medassist,03/25/2012 12:17:00 AM,Sunday,42.35381135,-71.1393195
vandalism,03/25/2012 12:20:00 AM,Sunday,42.35228634,-71.0613195
violation of liquor laws,03/25/2012 12:20:00 AM,Sunday,42.35116571,-71.1258117
service,03/25/2012 12:31:00 AM,Sunday,42.27966636,-71.0888645
aggravated assault,03/25/2012 12:32:00 AM,Sunday,42.32313558,-71.091769
licviol,03/25/2012 12:40:00 AM,Sunday,42.31884635,-71.0567395
simple assault,03/25/2012 12:42:00 AM,Sunday,42.36142634,-71.0569895
robbery,03/25/2012 12:49:00 AM,Sunday,42.30195636,-71.0838245
phonecalls,03/25/2012 12:51:00 AM,Sunday,42.31818273,-71.1000774
simple assault,03/25/2012 12:53:00 AM,Sunday,42.34857484,-71.0727405
other,03/25/2012 01:00:00 AM,Sunday,42.30129136,-71.0844345
larceny from motor vehicle,03/25/2012 01:00:00 AM,Sunday,42.34797778,-71.1402378
other,03/25/2012 01:20:00 AM,Sunday,42.33146635,-71.1035045
simple assault,03/25/2012 01:20:00 AM,Sunday,42.34813135,-71.0844845
mvacc,03/25/2012 01:27:00 AM,Sunday,42.34659135,-71.0645895
other larceny,03/25/2012 01:40:00 AM,Sunday,42.26354636,-71.1023795
other larceny,03/25/2012 01:45:00 AM,Sunday,42.35243134,-71.0657745
operating under influence,03/25/2012 01:51:00 AM,Sunday,42.34801135,-71.0368795
propfound,03/25/2012 02:00:00 AM,Sunday,0E-8,0E-
mvacc,03/25/2012 02:00:00 AM,Sunday,42.31773135,-71.0983445
mvacc,03/25/2012 02:03:00 AM,Sunday,42.35252134,-71.0603745
simple assault,03/25/2012 02:04:00 AM,Sunday,42.34982135,-71.0583595
gather,03/25/2012 02:05:00 AM,Sunday,42.35047863,-71.1329021
simple assault,03/25/2012 02:20:00 AM,Sunday,42.34728135,-71.0877295
invper,03/25/2012 02:21:00 AM,Sunday,42.33322135,-71.0301895
larceny from motor vehicle,03/25/2012 02:30:00 AM,Sunday,42.31929135,-71.0527595
vandalism,03/25/2012 02:30:00 AM,Sunday,42.35182025,-71.053601
pubdrink,03/25/2012 02:33:00 AM,Sunday,42.36932634,-71.0330095
val,03/25/2012 02:37:00 AM,Sunday,42.34846135,-71.1352795
invprop,03/25/2012 02:38:00 AM,Sunday,42.30827136,-71.0674845
medassist,03/25/2012 02:38:00 AM,Sunday,42.34642599,-71.1469778
val,03/25/2012 03:04:00 AM,Sunday,42.35041635,-71.1349545
disorderly,03/25/2012 03:10:00 AM,Sunday,42.35428135,-71.1318895
aggravated assault,03/25/2012 03:27:00 AM,Sunday,42.35252134,-71.0603745
invprop,03/25/2012 03:30:00 AM,Sunday,42.29414636,-71.0817395
invper,03/25/2012 04:00:00 AM,Sunday,42.34066486,-71.1577549
val,03/25/2012 04:31:00 AM,Sunday,42.33043135,-71.1114195
medassist,03/25/2012 04:35:00 AM,Sunday,42.35089635,-71.1319845
val,03/25/2012 06:03:00 AM,Sunday,42.31023135,-71.0918195
vandalism,03/25/2012 06:15:00 AM,Sunday,42.29951635,-71.0732145
val,03/25/2012 06:30:00 AM,Sunday,42.31086198,-71.0632094
other larceny,03/25/2012 07:00:00 AM,Sunday,42.2901966,-71.0880262
vandalism,03/25/2012 07:15:00 AM,Sunday,42.37735134,-71.0579745
drug charges,03/25/2012 07:30:00 AM,Sunday,42.36164815,-71.0599865
towed,03/25/2012 07:45:00 AM,Sunday,42.36492134,-71.0583695
vandalism,03/25/2012 08:00:00 AM,Sunday,42.35877634,-71.0719945
simple assault,03/25/2012 08:22:00 AM,Sunday,42.32723569,-71.0805961
other larceny,03/25/2012 08:40:00 AM,Sunday,42.28787636,-71.1265845
larceny from motor vehicle,03/25/2012 08:40:00 AM,Sunday,42.34924634,-71.0637845
val,03/25/2012 08:53:00 AM,Sunday,42.30190136,-71.1143895
auto theft,03/25/2012 09:00:00 AM,Sunday,42.34316135,-71.0785395
other larceny,03/25/2012 09:00:00 AM,Sunday,42.33325635,-71.0728995
invper,03/25/2012 09:30:00 AM,Sunday,42.34703135,-71.1343195
towed,03/25/2012 09:40:00 AM,Sunday,42.37457634,-71.0598445
mvacc,03/25/2012 09:45:00 AM,Sunday,42.36942634,-71.0368295
argue,03/25/2012 09:59:00 AM,Sunday,42.3027161,-71.0824873
towed,03/25/2012 10:00:00 AM,Sunday,42.35910634,-71.0707195
medassist,03/25/2012 10:00:00 AM,Sunday,42.31500221,-71.1153390
val,03/25/2012 10:22:00 AM,Sunday,42.35103135,-71.0648995
mvacc,03/25/2012 10:29:00 AM,Sunday,42.25582137,-71.1241195
proplost,03/25/2012 10:30:00 AM,Sunday,42.36592134,-71.0528245
mvacc,03/25/2012 10:30:00 AM,Sunday,42.29109136,-71.0628095
commercial burglary,03/25/2012 10:30:00 AM,Sunday,42.35515135,-71.0620395
invper,03/25/2012 10:45:00 AM,Sunday,42.25642136,-71.1239495
fire,03/25/2012 10:55:00 AM,Sunday,42.29366136,-71.1214595
val,03/25/2012 10:55:00 AM,Sunday,42.29820136,-71.0868095
vandalism,03/25/2012 11:00:00 AM,Sunday,42.36039135,-71.1311395
simple assault,03/25/2012 11:00:00 AM,Sunday,42.31248635,-71.0797895
service,03/25/2012 11:00:00 AM,Sunday,42.33950635,-71.0693895
towed,03/25/2012 11:30:00 AM,Sunday,42.34878134,-71.0820695
drug charges,03/25/2012 11:30:00 AM,Sunday,42.36245135,-71.0583295
mvacc,03/25/2012 11:38:00 AM,Sunday,42.35405135,-71.1580395
argue,03/25/2012 11:46:00 AM,Sunday,42.29352636,-71.0884645
service,03/25/2012 11:54:00 AM,Sunday,42.35043993,-71.0384870
other larceny,03/25/2012 11:54:00 AM,Sunday,42.31738635,-71.0822595
other larceny,03/25/2012 12:00:00 PM,Sunday,42.34852367,-71.0780372
other larceny,03/25/2012 12:00:00 PM,Sunday,42.33399593,-71.0763991
persmiss,03/25/2012 12:00:00 PM,Sunday,42.33667635,-71.0980195
invprop,03/25/2012 12:00:00 PM,Sunday,42.33834288,-71.0787898
invper,03/25/2012 12:00:00 PM,Sunday,42.34898135,-71.1509145
vandalism,03/25/2012 12:00:00 PM,Sunday,42.35614135,-71.0694195
simple assault,03/25/2012 12:06:00 PM,Sunday,42.29764861,-71.0684333
vandalism,03/25/2012 12:09:00 PM,Sunday,42.30029356,-71.0721217
other,03/25/2012 12:25:00 PM,Sunday,42.32946096,-71.0914734
simple assault,03/25/2012 12:32:00 PM,Sunday,42.29754027,-71.0818096
arrest,03/25/2012 01:10:00 PM,Sunday,42.31823135,-71.0958595
val,03/25/2012 01:15:00 PM,Sunday,42.26867137,-71.0936895
vandalism,03/25/2012 01:30:00 PM,Sunday,42.34618135,-71.0986245
invper,03/25/2012 01:38:00 PM,Sunday,42.35013134,-71.0771445
medassist,03/25/2012 01:45:00 PM,Sunday,42.30092636,-71.0653695
mvacc,03/25/2012 01:49:00 PM,Sunday,42.35827134,-71.0710645
commercial burglary,03/25/2012 02:00:00 PM,Sunday,42.29795136,-71.1124995
val,03/25/2012 02:00:00 PM,Sunday,42.35086634,-71.0607095
fraud,03/25/2012 02:15:00 PM,Sunday,42.28295636,-71.0819495
larceny from motor vehicle,03/25/2012 02:30:00 PM,Sunday,42.2907686,-71.0915785
propfound,03/25/2012 02:44:00 PM,Sunday,42.39095244,-71.0134720
proplost,03/25/2012 03:00:00 PM,Sunday,42.34721134,-71.0879995
val,03/25/2012 03:00:00 PM,Sunday,42.33558135,-71.0374295
val,03/25/2012 03:04:00 PM,Sunday,42.29775135,-71.0609045
argue,03/25/2012 03:11:00 PM,Sunday,42.34603634,-71.0705045
simple assault,03/25/2012 03:15:00 PM,Sunday,42.31251177,-71.0876115
